,Image,Label
3544,16231,6 4
3545,7038,6
3546,19515,2 4
3547,14642,6 4
3548,28088,3 4
3549,3934,1
3550,7821,8
3551,13468,9
3552,7405,8 4
3553,6964,2 4
3554,11755,3
3555,23291,4
3556,11558,8 4
3557,6067,6
3558,16852,0
3559,20856,0 4
3560,17193,6 4
3561,26485,4
3562,11797,6 4
3563,14483,4
3564,12618,7
3565,30463,4
3566,5408,0 4
3567,27516,8 6 4
3568,6086,8 0
3569,3335,6
3570,20709,6 9
3571,23397,2
3572,1417,0
3573,22729,6 7
3574,15366,2
3575,9479,4
3576,2045,1
3577,7332,4
3578,7459,6
3579,28322,4 7
3580,3627,4
3581,28916,9
3582,15625,2
3583,6246,2
3584,23422,6 3 4
3585,11060,6
3586,11055,7
3587,30487,3 2 4
3588,865,0
3589,21450,0
3590,25873,3 4 7
3591,1167,4
3592,29330,6 7
3593,3525,9
3594,14818,4
3595,14036,4
3596,2748,4
3597,21841,0 4
3598,27338,3 1 4
3599,21607,7
3600,26374,7
3601,4035,2
3602,26967,0
3603,30071,1 7
3604,1010,2 4
3605,15330,9
3606,24145,4
3607,26670,4
3608,12551,5 4
3609,9542,8 4
3610,6947,4
3611,14226,6 1
3612,5326,5
3613,28063,9
3614,4053,0
3615,23564,2
3616,29948,6 4
3617,4066,2
3618,18732,1
3619,27713,7
3620,30527,3 4
3621,24340,1
3622,11694,6 4
3623,11451,6 4
3624,12410,2 4
3625,30327,3 1 4
3626,25602,9
3627,12889,6 2 4
3628,627,1 4
3629,10658,6 4
3630,24120,9
3631,7728,7
3632,22310,9
3633,22596,0
3634,17148,2 4
3635,27798,6 4
3636,9378,4
3637,18990,6 4
3638,24343,6 1
3639,21509,0
3640,20733,0 4
3641,21617,3
3642,28151,2 4
3643,25460,1 4
3644,16014,3
3645,3726,0 9
3646,4392,1
3647,30762,5
3648,30794,1
3649,27115,6 4
3650,30500,1
3651,1177,3
3652,30901,6
3653,18416,6 2
3654,23732,3
3655,29563,6 1 4
3656,16405,9
3657,17320,3 4
3658,4335,4
3659,1886,7
3660,14701,6 2
3661,13135,6 2 4
3662,6459,6 4
3663,9571,2 5 4
3664,15880,1
3665,5261,6 4
3666,11015,6 4
3667,27215,3
3668,29546,7
3669,24038,6 4
3670,20911,0
3671,2260,0
3672,25631,3
3673,24992,1 4
3674,420,6
3675,2537,0
3676,6376,1
3677,30001,2 4
3678,7156,4
3679,4964,3 4
3680,13203,6 7
3681,24937,4
3682,8685,4 7
3683,30279,8
3684,21620,6
3685,30516,6 0
3686,9737,6 4
3687,29210,4
3688,12661,6 4
3689,4207,6 1
3690,22618,2
3691,6071,2 7
3692,22688,6 5 4
3693,20803,0
3694,12148,4
3695,28023,4
3696,24667,1
3697,12075,3
3698,13131,4
3699,20464,0 5 4
3700,3354,6
3701,18085,0
3702,9490,8 4
3703,20117,6
3704,5624,6 4
3705,360,1 4
3706,11029,8 4
3707,6842,2 4
3708,2294,0
3709,15222,4 7
3710,1633,9
3711,28782,2
3712,16691,6 7
3713,860,6 2 4
3714,5628,6 2
3715,21173,4
3716,18904,8 0
3717,13706,6 4
3718,6617,4
3719,4563,8
3720,8168,0
3721,248,2
3722,18124,6 4
3723,9830,0 4
3724,570,6 2
3725,28336,3 4
3726,18348,4
3727,1634,6 1
3728,16118,6 4
3729,30419,4
3730,29053,6 2
3731,8251,1
3732,24897,4 7
3733,1213,6 7
3734,30130,6 4
3735,17605,0
3736,5613,6
3737,4408,6
3738,21119,6 2
3739,8291,9
3740,15475,7
3741,17057,5
3742,29605,6 4
3743,12012,0
3744,16369,6
3745,8535,4
3746,8649,6 4
3747,19080,3 4
3748,20007,6 4
3749,7926,5 4
3750,15257,6 0 7
3751,7537,6 5 4
3752,9275,3
3753,27433,1 4
3754,842,5
3755,3317,6
3756,1988,0
3757,25567,2 4
3758,10552,6 4
3759,14634,1
3760,1180,4
3761,6632,6
3762,21240,4
3763,16363,8
3764,6419,7
3765,15513,6 4
3766,27495,1 4
3767,29603,2
3768,1023,0 2 4
3769,28462,4
3770,13121,6 4
3771,25387,5
3772,19444,6 7
3773,2345,6 4
3774,10953,6
3775,2777,4
3776,28535,0 9
3777,757,1
3778,13733,0
3779,11703,2 7
3780,14297,1
3781,9538,7
3782,10767,1 4
3783,13464,0 2
3784,2198,6 2 4
3785,25422,4 7
3786,27757,4
3787,4623,3 4
3788,25113,4
3789,8761,6 2
3790,20500,3 9 7
3791,30455,3 4
3792,18412,6 5
3793,12844,6
3794,12103,9
3795,14183,6 4
3796,23810,6 4
3797,4291,4
3798,26316,0
3799,27230,6 4
3800,24423,6 4
3801,28396,2 4
3802,1890,8 4
3803,3687,3 1
3804,29280,4 7
3805,12913,6 4
3806,7961,4
3807,1101,1 7
3808,14351,6 4
3809,5344,2
3810,17710,4
3811,13289,1 7
3812,25860,4
3813,17865,0
3814,22174,1
3815,29147,4
3816,3828,6 4
3817,27662,3
3818,15172,3 4
3819,13061,7
3820,4558,2 4
3821,27247,6 5 4
3822,28659,0 2
3823,12738,3 4
3824,5207,2 4
3825,21284,5 4
3826,13324,4 7
3827,28221,6 7
3828,13797,9
3829,22646,2 4
3830,1188,7
3831,13689,9
3832,8112,6 3 4
3833,11894,7
3834,23325,0
3835,20501,0
3836,29172,6
3837,24544,3
3838,2281,3
3839,13550,3
3840,7813,3 1
3841,23255,6 4
3842,8044,6 4
3843,29538,6 1
3844,7296,6 0
3845,16465,6
3846,10731,0
3847,12779,9
3848,25261,4
3849,30877,8
3850,17919,6
3851,13678,1
3852,7984,2 4
3853,11515,4
3854,25240,6
3855,14480,7
3856,21914,6 1
3857,804,1
3858,3459,6
3859,21817,3
3860,24997,4 7
3861,8767,2
3862,14041,6 4
3863,2973,3
3864,17217,6 4
3865,3760,4 7
3866,22645,8
3867,18726,4
3868,2160,6
3869,17038,1
3870,27023,4
3871,5573,7
3872,776,6
3873,6989,9 7
3874,28393,6
3875,24392,1
3876,30748,3
3877,18777,7
3878,19356,4 7
3879,7917,2
3880,21910,9 2
3881,13703,0 4
3882,13651,6
3883,30306,7
3884,24959,5
3885,105,4
3886,17023,9
3887,22983,6 2 4
3888,9206,3
3889,18501,4
3890,25966,3
3891,21865,6 3 2
3892,17405,8
3893,17657,4 7
3894,13493,5
3895,20171,0
3896,21603,4
3897,9824,4 7
3898,13102,8 4
3899,17782,2 4
3900,16781,8
3901,22939,6 2 4
3902,9837,6 4
3903,10754,6 4
3904,3564,5
3905,5662,6 4 7
3906,20543,9
3907,7859,4
3908,4374,0
3909,18528,4
3910,5042,7
3911,13846,5
3912,14854,7
3913,2819,0
3914,3789,6
3915,1565,8 4
3916,2022,0
3917,22374,7
3918,202,2 4
3919,6367,7
3920,11756,4 7
3921,18615,4
3922,19922,6 2 4
3923,20999,6 3
3924,1359,4 7
3925,8548,5
3926,19364,6 3 2 4
3927,29456,4
3928,27305,2 4
3929,4364,6 9
3930,23454,4
3931,1350,0 9
3932,21985,8
3933,8715,6
3934,5506,9
3935,22226,6 7
3936,11467,7
3937,19493,2
3938,7393,4
3939,16702,8 4
3940,25377,6
3941,7351,9
3942,18447,3
3943,3559,0
3944,13302,6
3945,15703,7
3946,3643,2 4
3947,30122,4
3948,5747,4 7
3949,24404,6 4
3950,1320,9
3951,9738,1
3952,879,6
3953,17431,4 7
3954,9825,0
3955,14718,1
3956,2094,6 2 4
3957,26421,7
3958,26498,4
3959,26700,0 2
3960,20645,1
3961,22851,6 1
3962,6622,8 6 7
3963,2403,2
3964,7415,4 7
3965,15555,6 4
3966,22350,3
3967,24300,2 4
3968,8508,4
3969,20391,4
3970,29647,9
3971,16495,9
3972,1224,4
3973,13685,5
3974,13076,4 7
3975,11565,2 4
3976,28392,6 4
3977,13446,4
3978,5885,9
3979,17544,6 7
3980,12453,3
3981,27163,7
3982,7624,9
3983,23101,3 4
3984,1263,9
3985,27645,6 2
3986,18823,4
3987,29721,4
3988,22369,7
3989,13429,6
3990,30295,6
3991,24213,1
3992,28161,6
3993,264,8
3994,29027,2 4
3995,29720,4 7
3996,22928,1 4
3997,5036,7
3998,9671,6 4 7
3999,9862,0 4
4000,26956,8 4
4001,25889,0
4002,18729,7
4003,23915,4
4004,25095,7
4005,30342,2
4006,16467,4
4007,17618,4
4008,17184,6 4
4009,12396,3
4010,29235,0 4
4011,28982,4
4012,30101,4
4013,5548,1
4014,25983,6 3 4
4015,17880,4
4016,21746,6
4017,2256,6 1
4018,9661,6
4019,15989,3 4
4020,16244,1 4
4021,18781,0 4
4022,18618,3
4023,20172,2
4024,29651,6
4025,23161,0
4026,722,8 6
4027,22168,6 4
4028,13629,5
4029,638,6 4
4030,8776,1
4031,27695,9
4032,11403,1
4033,11732,6
4034,23740,8
4035,12414,4
4036,6366,6
4037,6348,5
4038,84,9
4039,13381,3
4040,11319,6
4041,2590,6
4042,25978,6 7
4043,27106,0
4044,26300,6 4
4045,15733,9
4046,24999,4
4047,26560,6 2 4
4048,3047,6 1
4049,18480,6
4050,27875,3
4051,5235,1
4052,1723,4
4053,2817,5 4
4054,7712,6
4055,21143,1
4056,846,6
4057,29072,2 4
4058,23918,6
4059,855,8 6 4
4060,29312,0
4061,26577,6 2 4
4062,29960,6
4063,906,4
4064,29390,3
4065,10577,6 1
4066,10415,6 4
4067,28305,4
4068,12255,0 4
4069,18011,6 1 4
4070,6753,7
4071,5298,6 3
4072,22558,7
4073,18422,7
4074,6969,4
4075,27048,4 7
4076,6176,0
4077,9273,6 1 4
4078,29472,6 3
4079,20902,2 4
4080,1963,6
4081,16194,6
4082,1518,6
4083,12597,5 4
4084,23054,7
4085,19780,0
4086,11152,7
4087,12329,3
4088,11326,0 1 4
4089,3522,7
4090,28019,7
4091,7775,0 4
4092,3861,4
4093,11298,9
4094,25526,4
4095,10404,4
4096,25676,6 4
4097,13931,0
4098,25637,6 4
4099,16299,2
4100,23795,0
4101,26125,2 4
4102,21124,4
4103,1627,6 2 4
4104,29512,4
4105,23507,6 4
4106,16875,3 4
4107,6831,0
4108,17546,4
4109,18932,8 2 4
4110,28590,1
4111,14338,0 4
4112,30362,7
4113,19371,0
4114,24764,6
4115,14264,4
4116,24659,3
4117,718,4 7
4118,26460,6 7
4119,26170,4
4120,173,6 7
4121,24308,7
4122,21543,3
4123,7484,6 7
4124,31056,2
4125,9805,0 1 4
4126,5566,0
4127,28404,2 4
4128,11353,3 4
4129,22109,6
4130,9877,1
4131,7536,4
4132,10802,4 7
4133,4190,8 4
4134,16066,3
4135,22398,0
4136,1689,3
4137,17945,6 4
4138,2820,6
4139,30830,2
4140,706,4 7
4141,1017,7
4142,24719,6 4
4143,16944,7
4144,23104,6
4145,22036,7
4146,13096,2
4147,8974,5 4
4148,1091,6 4
4149,23497,4
4150,24514,0
4151,5463,5 4
4152,20943,7
4153,4126,5 4
4154,3612,6
4155,5569,0 9
4156,11509,4 7
4157,9653,6
4158,22170,4
4159,1899,6
4160,21465,8 4
4161,30639,4 7
4162,16527,4
4163,5763,0
4164,18268,6 7
4165,25132,7
4166,8812,0
4167,20054,4
4168,1480,0
4169,19545,4
4170,16710,6
4171,14920,9
4172,17185,6
4173,2036,4
4174,14588,4
4175,30417,8 6
4176,12878,6 4 7
4177,9285,5
4178,28657,0 4
4179,17506,2
4180,18344,7
4181,14085,5 4
4182,9349,3
4183,22437,4
4184,2716,6 4
4185,21346,6 2 4
4186,139,0
4187,15363,6 4
4188,20395,9
4189,16096,1
4190,8347,6 1
4191,24971,0
4192,24109,8 0 4
4193,14059,6 4 7
4194,3770,8 6
4195,4531,6 2
4196,12191,4
4197,9966,0 4
4198,27391,1 4
4199,22638,6 7
4200,18090,4 7
4201,27746,4
4202,26853,4
4203,9045,7
4204,25318,7
4205,12325,6 4
4206,9456,6 4
4207,20482,6
4208,12366,6 4
4209,472,4
4210,3626,7
4211,5995,0
4212,15183,2 4
4213,30099,0 4
4214,13518,4
4215,19667,0 2
4216,9305,3 1 4
4217,13272,3 2
4218,1765,2 4
4219,26347,9
4220,29650,7
4221,13628,6 4
4222,9991,0
4223,15736,8
4224,16736,2
4225,16421,8 6
4226,22221,2
4227,25570,1
4228,1805,4 7
4229,12676,4
4230,20005,4
4231,17069,1
4232,15618,6
4233,14410,5
4234,12436,2
4235,25746,8 4
4236,2962,6 4
4237,25104,6
4238,10722,2
4239,20969,6 7
4240,25512,8 6
4241,8894,4
4242,1582,2 4
4243,6357,6 4
4244,4038,6 4
4245,21902,3
4246,4630,6 9
4247,5095,6 7
4248,15070,0
4249,23458,4
4250,30171,4
4251,28430,3
4252,30765,4
4253,26280,6 4
4254,13450,3
4255,9162,7
4256,22540,6
4257,1360,5 4
4258,11930,5
4259,22660,3 2
4260,9120,1 4
4261,18723,9
4262,21793,7
4263,24835,2 4
4264,20472,2
4265,24632,6 4
4266,29576,2 4
4267,22301,5 4
4268,28418,6 1 4
4269,26810,0 1
4270,23409,4 7
4271,5388,6
4272,27389,7
4273,28136,6
4274,26482,6 1 4
4275,20869,5
4276,14497,8
4277,4519,0 2
4278,5086,6 4
4279,6532,3 1
4280,17624,6
4281,16512,1 4
4282,6795,4
4283,16171,5
4284,11900,4
4285,7947,9
4286,28437,2 4
4287,1059,4
4288,28911,4
4289,5457,6
4290,13928,3
4291,20844,1 2 7
4292,27782,7
4293,7709,6 2 4
4294,15674,6 9
4295,3827,3 4
4296,23345,4
4297,4832,4
4298,9634,0 5 4
4299,4059,4 7
4300,15605,6 4 7
4301,11038,2 4
4302,13990,2 4
4303,25448,4
4304,1423,3
4305,29682,5 4
4306,3175,5
4307,17390,6 1 4
4308,22978,4
4309,938,5 4
4310,11202,6 4
4311,3969,5 4
4312,4265,6
4313,2680,2
4314,3956,6 2 4
4315,12646,6
4316,28818,3
4317,12617,6 4
4318,27977,9
4319,16054,1 4
4320,17268,6 5
4321,23546,0 4
4322,1451,0
4323,21130,7
4324,4088,6 4 7
4325,25125,2 4
4326,9128,6
4327,19368,6 4
4328,25925,6
4329,7231,3
4330,4901,4
4331,7386,8 4
4332,15403,2
4333,4581,3
4334,24293,3
4335,20784,6 4
4336,14516,8 4
4337,22127,1 4
4338,17256,6 4
4339,1791,4 7
4340,1306,5
4341,28736,7
4342,14596,2
4343,17351,6 1 4
4344,10758,6 5
4345,2148,6 4
4346,23804,4 7
4347,14018,2
4348,12769,6 1
4349,17949,3
4350,16215,9 2 4
4351,12799,0
4352,29414,4
4353,7755,8 4
4354,28173,0
4355,1835,6
4356,17495,2
4357,8005,7
4358,18448,1 4 7
4359,7647,6
4360,14900,3 4
4361,22089,3
4362,14069,8 4
4363,4529,2 4
4364,16266,6
4365,28043,4
4366,21271,6 2
4367,22512,8
4368,10602,6 9
4369,5427,0 4
4370,7456,6 1 4
4371,12113,3 4
4372,22893,6 2
4373,17410,0
4374,19490,1
4375,30998,6 2 4
4376,27416,4
4377,24412,4 7
4378,11076,8 6 7
4379,18219,0
4380,26417,2 4
4381,15532,4 7
4382,10871,4
4383,4485,6 1
4384,18629,4
4385,12777,8 4
4386,14323,3 7
4387,29761,0 4
4388,22724,6 3 4
4389,20493,7
4390,5364,6
4391,5220,9
4392,24121,2 4
4393,10229,6 2 4
4394,13697,6 4
4395,11972,6 3 4
4396,3733,6 3 2 4
4397,8016,1 4
4398,24972,2 4
4399,28310,2 4
4400,6111,1
4401,10816,4
4402,3905,0
4403,21222,3
4404,11024,4
4405,14168,6 7
4406,16148,8 4
4407,8952,5
4408,14779,0
4409,27286,6 2 4
4410,26668,6
4411,17218,6 7
4412,13798,6 2
4413,17818,4
4414,29934,9
4415,25808,1 7
4416,25333,6 3 4
4417,17308,7
4418,18280,3
4419,14669,1 4
4420,7043,7
4421,17002,7
4422,7720,8
4423,21525,9 2 4
4424,13391,4
4425,822,5
4426,12782,5 4
4427,2384,2 4
4428,15410,4
4429,5839,6 4
4430,7003,4
4431,28867,5 4
4432,29879,9
4433,22562,0
4434,26147,1 4
4435,6196,9
4436,30371,6 0
4437,17402,1
4438,3883,6
4439,10051,0
4440,25834,8 4
4441,16283,4
4442,26891,1 7
4443,12107,6
4444,9238,0
4445,13578,4
4446,5960,6
4447,15542,9
4448,31043,4
4449,30642,0
4450,15026,0
4451,4790,0
4452,4653,4
4453,8631,3
4454,6744,1
4455,29887,5 4
4456,24639,7
4457,14943,9
4458,13852,6 2
4459,14843,6 9
4460,29026,6 4
4461,24759,4 7
4462,20069,2 4
4463,6941,7
4464,1682,6 4
4465,20348,3 4 7
4466,11602,7
4467,3235,9 7
4468,24676,7
4469,26988,3
4470,2133,7
4471,3111,9
4472,5435,6 2
4473,25,4
4474,12188,0 4
4475,8506,6 4
4476,2209,4
4477,8807,5
4478,12750,9
4479,21500,5 4
4480,28972,5
4481,27510,6 0 4
4482,28102,4
4483,28408,5
4484,25000,5 4
4485,23660,6 4
4486,1395,6
4487,24686,4
4488,25121,0
4489,14386,3
4490,17350,0
4491,29148,2
4492,9454,6 2
4493,18711,7
4494,6679,2 7
4495,30226,6
4496,24063,0 4
4497,11836,4
4498,12668,9
4499,14658,6
4500,20421,3
4501,29555,6 4
4502,21565,0 2
4503,11480,0 4
4504,8805,5
4505,14198,9
4506,22031,2 4
4507,15358,2
4508,5850,8 2
4509,3318,4
4510,16867,9
4511,28684,3
4512,13068,0 2
4513,26602,2
4514,10710,0
4515,28804,6
4516,23959,1 7
4517,7994,6 5 4
4518,23261,2
4519,12645,4
4520,13850,3
4521,7129,3 4
4522,17956,2
4523,17955,6 1
4524,22278,4
4525,25406,6 0
4526,26184,4
4527,5190,4
4528,27794,4
4529,2708,6 4
4530,5715,4
4531,11359,6 4
4532,165,9
4533,7825,3
4534,11245,6
4535,24240,6 1
4536,3957,3 4
4537,16496,3
4538,23367,6 2
4539,21235,3 4
4540,7282,0 9
4541,15761,5 4
4542,12947,3
4543,9757,8 4
4544,14826,1
4545,13911,7
4546,29574,7
4547,6680,6 2
4548,5079,4
4549,27015,4
4550,28714,0 4
4551,29246,1
4552,11420,3
4553,6648,6 2 4
4554,1430,7
4555,18406,4
4556,16073,8 4
4557,23542,6 4
4558,13809,9
4559,30411,4
4560,21961,6 4
4561,2134,0 4
4562,28768,3 7
4563,10008,9 4
4564,16330,9
4565,2224,1 4
4566,22281,2 7
4567,14550,1
4568,17415,4
4569,29131,0 4
4570,13383,6 4
4571,12097,5 4
4572,12374,4
4573,5925,2 4
4574,17892,2 4
4575,20165,8 4
4576,12555,1 4
4577,23605,6 2
4578,4601,6
4579,26546,6 7
4580,29345,2 4
4581,28005,3 4
4582,27227,6 4
4583,23300,5 4
4584,28000,6
4585,30537,6
4586,3772,9
4587,470,3 4
4588,8152,2 4
4589,15654,6
4590,13673,3 2
4591,29723,4 7
4592,16381,2
4593,1968,3 4
4594,22080,2 4
4595,25389,5
4596,26272,9
4597,4234,7
4598,2399,2
4599,10353,0 5
4600,6495,3
4601,2656,5 4
4602,27424,3 1
4603,18993,6 7
4604,26726,0 4
4605,19886,4
4606,28210,4 7
4607,3250,6
4608,3342,3
4609,25928,5 4
4610,8042,0 9
4611,4096,6 4
4612,8234,6 1
4613,21826,4 7
4614,8105,4
4615,1293,9
4616,5259,7
4617,19738,3 4
4618,25957,4
4619,30986,6 4
4620,16091,4
4621,22177,6 2
4622,12222,7
4623,22504,0
4624,4514,9
4625,14999,5
4626,30603,3 4
4627,12051,6
4628,16582,6 9
4629,30674,1 4 7
4630,15616,7
4631,25710,6 4
4632,14969,2 4 7
4633,4657,1 4
4634,13665,6 4 7
4635,15543,2 7
4636,28589,4
4637,16123,4
4638,9158,2 4
4639,11929,3
4640,2040,9 2
4641,26993,2
4642,1783,1 2 4
4643,12730,0
4644,2435,8 1 4
4645,9416,6 2
4646,23169,0
4647,16673,6
4648,14216,1
4649,7185,6 2 4
4650,11473,8 7
4651,21250,4
4652,12330,6 4
4653,30329,9
4654,4376,6 1 4
4655,1840,6 7
4656,16040,3
4657,15510,4
4658,486,6
4659,26715,5
4660,136,4
4661,516,6 4
4662,17003,6 4
4663,15117,6
4664,21675,6 2
4665,29460,0 4
4666,27253,0
4667,4359,3
4668,6915,6
4669,1884,4
4670,10772,0 4
4671,27336,3
4672,17141,0
4673,5088,4 7
4674,24478,4
4675,20031,3 4
4676,21183,6
4677,15434,6
4678,3408,2 4
4679,20998,1
4680,1262,4
4681,16164,0 1 4
4682,1779,6
4683,4357,8
4684,15040,6 4
4685,19582,6
4686,29433,2
4687,5750,3
4688,24190,6 4
4689,5365,0
4690,25214,2 4
4691,1479,2
4692,27399,5 4
4693,30987,4
4694,20366,1
4695,14048,6
4696,12593,6 4
4697,29561,6 4
4698,20614,2
4699,23562,4
4700,3247,6 4
4701,10793,6
4702,1659,2 4
4703,1252,1
4704,25016,0
4705,5643,4
4706,28091,6
4707,17604,1
4708,5260,1
4709,15673,4 7
4710,23987,1
4711,7803,6 3 4
4712,3839,2 7
4713,1503,2 4
4714,30696,6 2 4
4715,21360,4
4716,26027,8 4
4717,29805,6 1 4
4718,28550,8 4
4719,24934,7
4720,29825,8
4721,24087,6 4
4722,14865,9
4723,20060,2
4724,844,3
4725,8988,9
4726,18185,2 4
4727,21990,9
4728,24753,4
4729,16627,6
4730,11769,2 4
4731,12502,6 4
4732,5143,6 5
4733,21615,9
4734,1786,0 4
4735,12736,4
4736,3865,1 4
4737,19796,8
4738,19402,4
4739,13462,2 4
4740,29176,6 4
4741,2980,3 1 4
4742,551,3
4743,30563,9 5
4744,19612,1 4
4745,16197,4
4746,3639,6 4
4747,5172,6 4
4748,4186,1
4749,7809,4
4750,16354,0 4
4751,22739,0 4
4752,24393,4
4753,15548,6 2
4754,9679,8 4
4755,22284,9
4756,14257,0 7
4757,4480,6 5 4
4758,16681,8 5
4759,19230,6
4760,13643,3 4
4761,27189,6 5
4762,22359,3
4763,17457,6
4764,14169,6 4
4765,16059,4
4766,7968,7
4767,14233,8 7
4768,19107,2 4 7
4769,25225,3
4770,17484,6 7
4771,9344,5
4772,26572,6 4
4773,11911,0 4
4774,24402,3 4
4775,20584,0
4776,23407,6 4
4777,15519,7
4778,14872,6 3
4779,5754,2 4
4780,10166,1
4781,25058,3 4
4782,15365,3 4
4783,22994,6 4 7
4784,29909,0
4785,26466,2
4786,27630,6
4787,20214,7
4788,24264,0
4789,606,9
4790,24637,2 4
4791,29900,6
4792,8718,7
4793,16347,3
4794,10407,6 4 7
4795,27716,9
4796,22484,6 4
4797,2219,2
4798,8854,5 4
4799,12181,4 7
4800,19255,9
4801,5107,3
4802,17138,6 7
4803,21397,3
4804,10230,2 4
4805,3568,3 7
4806,334,2 4
4807,30498,4 7
4808,1386,4
4809,5819,6
4810,1093,4
4811,17444,9
4812,30057,4
4813,3684,6
4814,2614,0
4815,7528,6 9
4816,22318,6
4817,1674,3
4818,2497,6
4819,16160,7
4820,22388,2 4
4821,4957,8
4822,5391,2
4823,12757,4
4824,2713,7
4825,6997,6 4
4826,7211,4
4827,2153,2 4
4828,12636,6
4829,13479,4
4830,2184,6 4
4831,25807,6
4832,4034,3
4833,20168,4
4834,6667,0
4835,28882,4
4836,15469,0 4
4837,392,8
4838,6829,6
4839,20668,7
4840,15938,4 7
4841,3069,3
4842,13432,0
4843,22523,8
4844,19379,6 7
4845,22510,6
4846,30349,7
4847,30452,1 4
4848,3610,4
4849,17680,9 5
4850,30174,3
4851,19724,2
4852,17178,3
4853,8701,4
4854,26740,6 4
4855,10303,5
4856,26157,1
4857,5799,2 4
4858,1998,9
4859,11943,4
4860,16699,6 4
4861,22062,4
4862,2626,6 4
4863,15613,1 4
4864,19354,1
4865,9018,6 5
4866,14106,8
4867,30720,0
4868,9841,0 2
4869,20452,2
4870,1410,6
4871,957,6 4
4872,23768,6
4873,5519,1 4 7
4874,11063,2 4
4875,28854,4
4876,6824,6 4
4877,12297,2 4
4878,21017,6 4
4879,13463,6 4
4880,27584,4
4881,3650,6 4
4882,28214,3 9
4883,14871,6
4884,24693,1
4885,5034,3 4 7
4886,17172,9
4887,21079,1 4
4888,29473,3 4
4889,13776,6
4890,4682,9
4891,30355,6
4892,26487,4
4893,19261,2 4
4894,23336,0 2
4895,27890,3 4
4896,18377,3 4
4897,6280,2 4
4898,13357,6 4 7
4899,1944,2 4
4900,6087,2 4
4901,3485,9
4902,21280,6 4
4903,21189,6 4
4904,24711,4
4905,18232,4 7
4906,24162,9 2 4
4907,4200,1
4908,14444,3
4909,3669,7
4910,6508,4
4911,29788,6 4
4912,10729,2 4
4913,21605,2 4
4914,29223,2 4
4915,7079,9 7
4916,11453,8 4
4917,30017,7
4918,12349,2 4
4919,27203,4
4920,27636,6 4
4921,24360,4
4922,11094,2
4923,11103,6 9
4924,14476,6
4925,21313,6 1
4926,20670,6 4
4927,4425,2 7
4928,13919,5
4929,14769,1 4
4930,6475,4
4931,16645,5
4932,10541,2
4933,25050,3 4
4934,19698,5 7
4935,22085,0 4
4936,15540,0
4937,23274,0
4938,23917,0
4939,24214,6 2
4940,4767,4
4941,1202,2
4942,27736,6 1
4943,29626,7
4944,4751,4
4945,18177,0 4
4946,22354,6 1
4947,19057,9
4948,28364,2
4949,3287,6 4
4950,9281,7
4951,29910,8 2
4952,1870,0 4
4953,9589,4
4954,2113,1
4955,28444,5
4956,10720,3 4
4957,22537,5 4
4958,8528,1
4959,321,6 4
4960,305,6 2
4961,26384,6 3 7
4962,1681,6 1 4
4963,9891,0 9
4964,28941,1
4965,29829,6 4
4966,23446,1
4967,26828,4
4968,25197,8
4969,11709,8 0 4
4970,12963,4
4971,5176,3
4972,21153,4
4973,24800,1 4
4974,26117,7
4975,13256,4
4976,25311,6 4
4977,18590,3
4978,6044,0
4979,514,6
4980,29200,6 4
4981,25884,1 4
4982,24857,6
4983,29816,3 4
4984,23219,2
4985,29080,8 4
4986,21510,6
4987,10058,8
4988,10367,3 2 4
4989,4009,8 0 7
4990,3662,6 0
4991,21854,0 2 4
4992,17262,0 4
4993,17925,7
4994,9986,2
4995,16098,7
4996,15635,3 4
4997,9320,6
4998,4468,4
4999,7416,9
5000,18949,8 5 4
5001,3871,3
5002,1148,6 4 7
5003,15207,4
5004,12157,6
5005,23307,3 4
5006,11554,6 4 7
5007,1898,9
5008,27199,4
5009,7908,1 7
5010,8169,0
5011,2571,6 0
5012,31023,1
5013,18603,3 4
5014,10012,6 0 1
5015,28895,6 2 4 7
5016,30168,7
5017,23337,8
5018,26860,4
5019,7040,4
5020,18137,6 4
5021,12170,5
5022,9096,3 9 2
5023,24535,6 7
5024,28033,7
5025,10033,9
5026,11776,4
5027,20239,9 7
5028,6757,2 4
5029,22861,4
5030,6125,6 1 4
5031,8121,6 5 4
5032,12266,6 2 4
5033,4789,7
5034,4737,2 4
5035,20805,6 2
5036,24219,4 7
5037,4390,6 1
5038,2095,2 4
5039,3899,6 9
5040,10905,6
5041,12829,4
5042,14056,8
5043,13471,0 2 4
5044,1645,0
5045,9028,4 7
5046,14306,6 4
5047,7753,5
5048,20527,8 6 4
5049,14573,6 2
5050,14046,3
5051,16979,6 2
5052,27069,5 4
5053,17046,9
5054,6716,0
5055,11791,0 4
5056,6867,6 0 4
5057,1542,2
5058,28346,8
5059,17759,9 4
5060,4013,0
5061,5212,6 4
5062,26120,2 4
5063,24579,6
5064,24718,4
5065,7890,0
5066,16111,1
5067,27049,3 4
5068,15937,4
5069,28201,2
5070,904,6 4
5071,7938,2
5072,8364,7
5073,14853,4
5074,2610,7
5075,5998,6 3
5076,28543,6 2 4
5077,14159,5
5078,17858,7
5079,29896,6 4
5080,19961,3
5081,20084,6 9
5082,21493,1 2 4
5083,9899,6
5084,3840,6 7
5085,10969,9
5086,9884,2 4
5087,18811,1
5088,11083,4
5089,5304,6
5090,8156,4
5091,28838,6
5092,15169,6 4
5093,21998,8 4
5094,10098,6 5 7
